               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12242,            0.015528,            0.040782,                   0,                   0,                   0,                   0,             0.12072,            0.019334,            0.039926,              0.0919,              0.0009,              0.0009
                   1,             0.10439,            0.017944,            0.038119,           0.0045605,             0.45828,            0.065287,            0.011116,            0.093801,            0.026303,            0.036447,            0.082894,           0.0018937,           0.0018937
                   2,            0.081354,            0.019208,            0.035487,           0.0077488,             0.75192,             0.07668,            0.021124,            0.074258,            0.032038,            0.034753,            0.073881,           0.0028809,           0.0028809
                   3,            0.067006,            0.021233,            0.033861,            0.009921,             0.90654,             0.16655,            0.034647,            0.078929,            0.026487,            0.033536,            0.064861,           0.0038614,           0.0038614
                   4,            0.060836,            0.019512,            0.034074,             0.06825,             0.96242,             0.25541,            0.097195,            0.060678,            0.027634,            0.033124,            0.055835,           0.0048353,           0.0048353
                   5,            0.055335,             0.01783,            0.032671,              0.3704,             0.10342,             0.24383,             0.11041,            0.080302,            0.021176,            0.032986,            0.046803,           0.0058027,           0.0058027
                   6,            0.059575,            0.016674,            0.032548,             0.23816,              0.2124,             0.26308,            0.080118,            0.054879,            0.026426,            0.031851,            0.037763,           0.0067634,           0.0067634
                   7,            0.055184,            0.015742,            0.031552,             0.30405,             0.35492,             0.33441,             0.14481,            0.057751,             0.02425,            0.032666,            0.028718,           0.0077175,           0.0077175
                   8,            0.053689,            0.016132,            0.032271,             0.21441,              0.3926,             0.23246,            0.062819,            0.060674,            0.021623,            0.031421,            0.019665,            0.008665,            0.008665
                   9,            0.052591,            0.015293,            0.032543,             0.24239,              0.4672,             0.30918,            0.081637,            0.065005,            0.020208,            0.031998,            0.010606,            0.009606,            0.009606
                  10,            0.052816,            0.013969,            0.030132,             0.30485,             0.45772,             0.39689,              0.1877,            0.061418,            0.018709,            0.031201,             0.00967,             0.00967,             0.00967
                  11,            0.049616,            0.013079,            0.030538,             0.33822,             0.60019,             0.44453,             0.25055,            0.059297,            0.018459,            0.031366,             0.00967,             0.00967,             0.00967
                  12,            0.047256,            0.013042,            0.028601,             0.26149,             0.65692,             0.40767,             0.17583,            0.054294,            0.017829,            0.031201,            0.009637,            0.009637,            0.009637
                  13,            0.044685,            0.011413,            0.026752,             0.23624,             0.57448,             0.33827,             0.14276,            0.054052,            0.017057,            0.027937,            0.009604,            0.009604,            0.009604
                  14,             0.04169,            0.010908,            0.026044,             0.52076,             0.59868,             0.46741,             0.20077,            0.045471,            0.017178,            0.029196,            0.009571,            0.009571,            0.009571
                  15,            0.044976,           0.0096003,            0.025347,             0.47483,             0.63581,             0.48496,             0.25826,            0.050291,            0.016233,            0.030844,            0.009538,            0.009538,            0.009538
                  16,            0.041761,            0.009172,            0.022136,              0.4954,             0.58757,             0.57977,             0.30966,            0.044579,            0.015203,            0.025914,            0.009505,            0.009505,            0.009505
                  17,            0.040915,           0.0092816,            0.022963,             0.31897,             0.59692,              0.5483,               0.314,            0.044276,            0.013803,            0.040256,            0.009472,            0.009472,            0.009472
                  18,            0.037407,           0.0086954,            0.021575,             0.25227,             0.63529,             0.53639,             0.28458,            0.041665,            0.013156,            0.043478,            0.009439,            0.009439,            0.009439
                  19,            0.036948,           0.0078379,            0.022342,             0.48948,             0.62738,             0.67655,             0.41544,            0.036408,            0.013355,            0.032135,            0.009406,            0.009406,            0.009406
                  20,            0.036585,           0.0079219,            0.019625,             0.31031,             0.64566,             0.54538,             0.26337,            0.056624,            0.012376,            0.045758,            0.009373,            0.009373,            0.009373
                  21,            0.036739,           0.0081572,              0.0202,             0.35209,             0.66759,             0.61568,             0.39942,            0.040164,            0.012468,            0.035431,             0.00934,             0.00934,             0.00934
                  22,            0.038134,           0.0075523,            0.020057,             0.53023,             0.64446,             0.61285,             0.32566,            0.045989,            0.012921,            0.027663,            0.009307,            0.009307,            0.009307
                  23,            0.035444,           0.0071918,            0.019265,             0.53749,             0.58153,             0.63024,             0.34776,            0.040697,            0.012317,            0.033408,            0.009274,            0.009274,            0.009274
                  24,            0.034814,           0.0063018,            0.020736,             0.63332,             0.56972,             0.63695,             0.36645,            0.042156,            0.013002,            0.026807,            0.009241,            0.009241,            0.009241
                  25,            0.037768,           0.0066648,            0.017457,             0.58166,             0.58224,             0.68239,             0.41294,            0.043178,            0.012302,             0.02726,            0.009208,            0.009208,            0.009208
                  26,            0.035264,           0.0062066,            0.017774,             0.59624,             0.59528,             0.66195,             0.40252,            0.036746,            0.012868,            0.024307,            0.009175,            0.009175,            0.009175
                  27,            0.032582,           0.0066646,            0.018678,             0.68113,             0.55119,             0.69412,             0.43451,            0.035495,            0.012504,            0.027255,            0.009142,            0.009142,            0.009142
                  28,            0.032491,           0.0067174,            0.016465,             0.70524,             0.54345,             0.66843,             0.41305,            0.041362,             0.01261,            0.032941,            0.009109,            0.009109,            0.009109
                  29,            0.033503,           0.0067236,            0.015485,             0.72259,             0.48555,              0.6933,              0.4048,            0.037256,            0.012969,             0.02634,            0.009076,            0.009076,            0.009076
                  30,            0.032319,            0.006412,            0.017502,             0.70718,             0.58905,             0.64758,             0.38803,            0.041818,            0.011778,            0.024532,            0.009043,            0.009043,            0.009043
                  31,             0.03372,           0.0067557,            0.015548,             0.83472,             0.59834,              0.7632,             0.46092,            0.035891,            0.012167,            0.027223,             0.00901,             0.00901,             0.00901
                  32,            0.031939,            0.006251,            0.014777,             0.75516,             0.60632,             0.70377,             0.39976,            0.040734,            0.011369,            0.026093,            0.008977,            0.008977,            0.008977
                  33,            0.032086,           0.0064241,            0.014521,             0.75052,             0.70064,             0.75197,             0.47158,            0.037961,            0.011628,            0.024912,            0.008944,            0.008944,            0.008944
                  34,            0.032973,           0.0059002,            0.012641,             0.76798,             0.66217,              0.7942,             0.52368,            0.036848,              0.0114,             0.02433,            0.008911,            0.008911,            0.008911
                  35,            0.031594,           0.0060828,            0.013823,             0.72446,             0.68622,             0.73008,             0.47939,            0.032377,             0.01216,            0.030382,            0.008878,            0.008878,            0.008878
                  36,            0.032108,           0.0058175,            0.012746,             0.73754,             0.71395,             0.80022,             0.45724,            0.042686,            0.011569,            0.023543,            0.008845,            0.008845,            0.008845
                  37,            0.029379,           0.0062242,            0.013416,             0.75275,             0.66824,             0.73737,             0.47866,            0.035248,            0.012143,            0.027887,            0.008812,            0.008812,            0.008812
                  38,            0.030553,           0.0062038,            0.011744,             0.76555,              0.5877,             0.73032,              0.4746,            0.041211,            0.013598,            0.025209,            0.008779,            0.008779,            0.008779
                  39,            0.029281,           0.0056268,            0.012998,             0.68205,             0.67492,             0.76311,             0.53345,            0.033743,            0.012486,            0.025374,            0.008746,            0.008746,            0.008746
                  40,            0.028138,            0.005798,             0.01192,             0.73359,             0.66141,             0.74758,             0.49853,            0.033897,            0.011071,            0.025424,            0.008713,            0.008713,            0.008713
                  41,            0.028166,           0.0061251,            0.012066,             0.70775,             0.73928,             0.78422,              0.5242,            0.034397,            0.011108,            0.026413,             0.00868,             0.00868,             0.00868
                  42,            0.029802,           0.0059065,           0.0093518,             0.73416,             0.72392,             0.81272,             0.57871,            0.032713,            0.011485,            0.027837,            0.008647,            0.008647,            0.008647
                  43,            0.028823,           0.0059512,            0.011445,             0.66363,             0.73195,              0.7825,             0.55377,            0.035179,            0.011243,            0.025781,            0.008614,            0.008614,            0.008614
                  44,            0.028234,            0.005367,            0.010502,              0.8049,             0.63209,             0.76407,             0.55397,            0.033835,            0.011295,            0.026839,            0.008581,            0.008581,            0.008581
                  45,            0.028455,           0.0055226,           0.0099199,             0.75053,             0.64133,             0.73907,             0.52851,            0.034226,            0.011432,            0.027026,            0.008548,            0.008548,            0.008548
                  46,            0.027699,           0.0058544,            0.008125,             0.69883,             0.72149,             0.80924,             0.59379,            0.031645,            0.011645,            0.029233,            0.008515,            0.008515,            0.008515
                  47,            0.028802,           0.0056632,           0.0098909,             0.63372,             0.73323,             0.77703,             0.54629,            0.034433,            0.011728,            0.031316,            0.008482,            0.008482,            0.008482
                  48,            0.027169,           0.0047834,           0.0078827,             0.80731,             0.74539,             0.79911,             0.57496,            0.032583,             0.01143,            0.024014,            0.008449,            0.008449,            0.008449
                  49,            0.028918,           0.0057653,           0.0090682,             0.74674,             0.72583,             0.80551,             0.59891,            0.032199,            0.011343,            0.024815,            0.008416,            0.008416,            0.008416
                  50,            0.027956,           0.0053544,            0.009055,             0.71706,             0.73563,             0.79397,             0.58294,            0.034369,            0.011662,            0.025369,            0.008383,            0.008383,            0.008383
                  51,            0.026895,           0.0056016,           0.0086906,             0.71291,             0.72007,             0.78395,             0.52527,            0.034883,            0.012523,            0.026024,             0.00835,             0.00835,             0.00835
                  52,            0.025796,            0.005454,           0.0086699,             0.67065,             0.67998,             0.74188,             0.54192,            0.032926,            0.012966,            0.027599,            0.008317,            0.008317,            0.008317
                  53,            0.026656,           0.0055697,           0.0098633,             0.77107,             0.69494,             0.75842,             0.54709,            0.031681,            0.011466,            0.028162,            0.008284,            0.008284,            0.008284
                  54,            0.026008,           0.0051418,            0.010315,             0.71257,             0.64557,              0.6894,             0.45731,            0.034322,            0.012402,             0.03913,            0.008251,            0.008251,            0.008251
                  55,            0.026984,           0.0053163,            0.010683,             0.72813,             0.56815,             0.67676,             0.47429,            0.034379,            0.015864,            0.032941,            0.008218,            0.008218,            0.008218
                  56,            0.027884,           0.0050844,            0.009013,              0.6476,             0.68117,             0.74289,             0.47791,            0.036047,            0.012504,            0.029503,            0.008185,            0.008185,            0.008185
                  57,            0.026565,           0.0053657,           0.0095725,             0.70258,             0.56917,             0.66158,             0.45436,             0.03542,            0.012948,            0.041986,            0.008152,            0.008152,            0.008152
                  58,            0.027449,           0.0050866,            0.009521,             0.68309,             0.54831,               0.645,             0.42737,            0.032828,            0.012313,            0.046436,            0.008119,            0.008119,            0.008119
